	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
Российская Федерация	38 882 757,50	47 382 647,70	57 417 133,90	70 444 974,40	77 491 653,20	98 352 023,30	100 332 952,90	105 047 342,80	110 624 172,20	116 777 613,30	123 465 683	134 877 822,30	151 222 578,40	166 372 061,60	145 858 711,70	156 680 367,40	160 024 971,30	117 735 295	160 108 416,10	174 352 333,50
    Центральный федеральный округ	6 828 129,90	8 364 552,20	10 323 428,10	13 660 238,20	14 367 455,30	18 973 116,50	19 826 596,60	19 288 203,80	20 659 451,80	20 812 221	21 793 348	21 409 194,50	21 561 695,60	20 252 589,20	17 935 010,70	17 520 771,60	17 647 926,20	13 984 282,40	16 491 508,40	17 236 307,90
        Белгородская область	84 274	127 394,60	2 000 918,60	293 890,20	359 806,10	459 280,30	415 323,10	463 591,30	520 089,60	558 789,80	551 135,60	562 041,40	618 643,20	681 112,90	559 746,70	671 489,70	717 499,50	588 679	685 790,40	707 580,30
        Брянская область	224 642,10	247 825,50	280 828,50	316 565,60	305 412	441 512	323 196,30	399 381,90	438 295,10	451 966,90	424 655,10	372 810,30	433 071,80	382 831,50	376 101,60	319 734,70	329 240,80	294 010,70	347 540,10	195 509,80
        Владимирская область	161 242,90	191 237	279 561,60	301 160,10	340 148,70	414 640,70	424 346,30	401 282,50	441 895,70	464 352,20	469 985,10	529 442,40	493 727,80	289 714	261 885,90	253 407,30	267 703,60	193 552,90	247 511,60	341 352
        Воронежская область	334 112,20	437 035	526 859,90	587 844,80	673 039,60	711 730,30	835 380,50	784 736,40	839 231	956 158,30	993 702,80	1 121 767,50	1 189 963,50	1 101 254,40	1 222 008,20	1 106 960,20	1 075 262,10	578 412,50	750 754,90	673 430,50
        Ивановская область	151 037,50	183 277,60	234 713	310 161,60	348 089,30	439 771,20	503 338,70	486 057,80	583 627,20	785 579,60	806 957,40	915 106,60	952 034,70	1 167 860,80	1 112 725,80	1 028 464	1 089 695,10	501 061,10	831 761,40	1 014 330,60
        Калужская область	147 786,80	158 327,20	210 280,50	262 092,10	331 919,40	378 866,90	390 078	424 207,80	385 454,70	428 138,30	458 715,30	548 653,60	508 721,80	479 428,60	338 079,30	317 651,60	412 674	155 273,80	260 918,70	365 631,40
        Костромская область	125 656,80	150 568	184 427,40	274 246,20	336 899,20	464 118,60	352 056,50	364 239,90	401 273,70	446 186,20	443 208,90	442 221,50	503 811,30	620 450	174 456,70	109 312,50	105 402	78 136	165 209,30	187 070,90
        Курская область	285 374,40	313 514	359 891,90	386 714,10	440 303,20	498 306,10	576 954,50	613 219,60	656 292,70	725 459,50	759 569,60	803 603,50	714 936,20	551 593	699 516,20	722 659	790 764,80	639 699,80	567 116	392 420
        Липецкая область	115 701,50	165 215,40	241 823,70	246 602	283 806,60	288 579,30	258 883,90	237 924,60	252 157	238 198	310 516,70	324 334	356 428	402 164,40	355 110,20	238 111,90	250 379,90	188 564	201 007	214 711
        Московская область	3 224 117	4 059 510,20	4 834 149,50	7 218 049,80	7 268 970,60	10 530 935,80	10 938 550,30	10 422 149,20	10 820 411,40	10 555 781	11 706 598,40	10 327 636,50	9 849 844,80	9 400 238,40	7 823 551,20	7 924 362	7 616 635,10	6 489 879,70	7 293 578,60	6 829 162,50
        Орловская область	114 252,20	102 296,40	111 723,60	144 800,90	125 811,60	172 129,10	169 534,30	144 469,80	151 012,30	153 700,80	169 122,80	175 022,90	137 527,60	128 859,40	121 181,70	120 768,90	128 966,80	76 790,80	119 537,30	176 991
        Рязанская область	285 942,90	354 613,80	407 866,50	479 473,90	425 435,60	602 099,50	693 102,80	662 149,20	750 591,10	827 841,80	757 300,20	783 077,20	803 741,60	521 440,80	433 665,60	320 233,80	364 051,10	277 295,40	347 998,30	608 034,90
        Смоленская область	244 685,20	257 825	300 832,30	268 445	280 062,80	364 654,30	396 609,80	385 960,40	499 402,70	515 923,80	475 836,10	559 469,90	542 278,90	556 036,10	552 375,90	543 552,90	378 053,30	332 486	231 179	289 900,10
        Тамбовская область	130 012,80	145 711,20	244 854,10	260 866,90	228 057,10	289 171,40	322 588,70	271 005,30	330 089,80	337 027,90	345 844,10	425 292,50	333 997,10	308 052,30	276 197,10	216 793,40	272 036	172 818,70	260 128,60	344 924,90
        Тверская область	326 036,80	442 056,70	561 251,70	645 790,20	639 240,50	721 315,40	824 506,40	795 801,30	771 307,90	764 363,70	830 238,30	793 115,50	949 891,10	942 196,60	883 160,50	867 808,30	853 011,20	769 846,30	706 516,50	822 064,20
        Тульская область	270 475,70	268 159,70	318 181,50	457 084,90	478 492,70	433 377,90	528 276,90	443 060,60	572 808,80	740 621,70	545 635	725 954,50	857 154,80	563 223,10	517 164,10	554 890,40	502 191,20	400 185,50	458 299,60	627 787,10
        Ярославская область	327 746,10	385 935,40	572 111,10	622 567,30	718 429,50	758 085,80	795 240,30	801 822,70	924 686,50	975 451,70	1 055 857,80	1 112 964,90	1 125 122,10	989 836,50	1 057 518,90	1 166 875,40	1 274 571,40	1 060 461	1 308 423,50	1 646 005
        Город Москва столица Российской Федерации город федерального значения	275 033	374 049,50	453 152,70	583 882,60	783 530,80	1 004 541,90	1 078 629,30	1 187 143,50	1 320 824,60	886 679,80	688 468,80	886 679,80	1 190 799,30	1 166 296,40	1 170 565,10	1 037 695,60	1 219 788,30	1 187 129,20	1 708 237,60	1 799 401,70
    Северо-Западный федеральный округ	2 877 354,90	3 370 971,30	3 473 589,70	4 951 136	5 116 678,10	5 979 256,10	5 685 125,50	6 066 901,60	6 275 143,10	6 402 526,80	6 961 738,90	7 552 011,10	10 817 669,10	11 365 923,80	10 566 662	11 266 011,80	10 350 523,90	8 977 691,50	12 392 241,80	12 682 789,40
        Республика Карелия	182 782,40	211 018,70	289 652,60	449 259,80	339 136,30	546 152,40	617 184,80	611 494,40	688 462,20	731 277,20	798 364	893 789,60	1 095 740,40	1 075 104,70	1 241 978	1 365 984,70	1 521 499,70	1 370 276,70	1 848 138	1 954 422
        Республика Коми	221 088,10	198 939,10	209 542,50	240 960	248 422,80	240 494,70	293 071,30	253 066,50	272 012,60	321 680,10	338 629	343 662,60	341 946,40	504 533,20	446 197,10	447 700,30	468 070,90	325 298,40	336 130,10	433 111
        Архангельская область	134 784,60	182 772,90	210 541,40	260 984,20	396 499,70	327 302,60	293 075,40	309 568,30	337 183	376 616,70	580 556,90	433 637,50	385 515,50	572 313,30	458 253,70	604 528	687 140,70	429 305,70	423 427,80	424 384,70
            Ненецкий автономный округ (Архангельская область)	0	0								0										
            Архангельская область (без АО)										376 616,70	580 556,90	433 637,50	385 515,50		458 253,70					
            Архангельская область (кроме Ненецкого автономного округа)														572 313,30	458 253,70	604 528	687 140,70	429 305,70	423 427,80	424 384,70
        Вологодская область	228 775,90	315 093,40	416 446,10	510 610,60	598 999,30	711 284,50	610 872,90	727 383,30	699 464,30	728 459,70	779 434,90	781 906,20	799 589,40	748 159,60	548 352,50	640 360,30	708 713,50	643 454,40	899 311,80	1 051 564,80
        Калининградская область	364 764,50	437 880,60	371 196,30	642 621,90	759 486,40	925 017,20	571 181,50	446 268,70	806 904,60	775 039,90	785 757	1 192 858,70	1 578 610,30	734 950	1 226 245,10	1 261 446,40	1 304 068,60	1 143 715,50	1 581 814,60	1 681 416,60
        Ленинградская область	238 114,30	202 475,40	140 202,50	239 601,60	133 694,10	273 293,10	378 878,80	742 404	465 310	364 246,30	419 138,70	541 554,60	1 368 642,60	1 910 288,40	1 024 411,10	1 212 973,90	1 218 298,50	1 002 252,70	898 313,30	685 302
        Мурманская область	192 919,20	198 253,50	244 033	238 891,70	255 722,60	288 024,40	334 062,60	321 803,90	349 902,90	368 412,50	422 102,10	519 708,20	537 182,70	674 695	613 469,50	557 892,70	594 921	427 348,50	643 705,80	666 534,70
        Новгородская область	182 523	234 684	299 383	350 087,10	422 269,20	485 867,40	485 289,30	469 658	521 596,50	518 933,20	546 186,80	168 282,20	792 407,30	764 332,30	788 692,60	701 158	634 538,20	641 621,20	813 696,70	1 021 348,20
        Псковская область	131 755,90	139 443	200 367,20	203 905	221 910	247 057	279 607	251 231	307 290,40	316 296,70	343 901	417 174,70	452 462,70	536 263,30	558 264,20	643 883,70	592 473,80	416 334	520 219	639 854
        Город Санкт-Петербург город федерального значения	999 847	1 250 410,70	1 092 225,10	1 814 214,10	1 740 537,70	1 934 762,80	1 821 901,90	1 934 023,50	1 827 016,60	1 901 564,50	1 947 668,50	2 259 436,80	3 465 571,80	3 845 284	3 660 798,20	3 830 083,80	2 620 799	2 578 084,40	4 427 484,70	4 124 851,40
    Южный федеральный округ (по 2009 год)	12 503 070,10	16 290 683,20	20 379 603,70	24 080 343,90	27 000 488,70	34 102 827,20	37 373 879,70													
    Южный федеральный округ (с 2010 года)								24 926 442,50	24 734 655,70	26 401 891,70	28 004 314,60	32 158 726,70	34 854 548,50							
    Южный федеральный округ (с 29.07.2016)														57 629 993,60	46 636 783	48 852 899,90	51 666 124,80	34 654 277,20	56 957 212,40	57 359 987,20
        Республика Адыгея (Адыгея)	35 252,40	41 277	77 113,70	55 724,40	59 928,60	69 578,80	28 935	32 327	84 410,80	60 996,40	63 201,70	13 069,80	11 897,30	86 477,70	135 869,10	175 839,60	179 973,80	127 988,40	211 271	236 281,30
        Республика Калмыкия	1 522,60	0	10 222,80	9 757,90	2 972,20	11 464,60	0	0	0	0	0	0	6 159	5 996,20	0	0	0			
        Республика Крым												4 318 760,50	8 932 627	10 252 716,30	12 313 852,70	13 868 870,60	16 363 818	10 088 258,60	18 586 419,20	15 124 781,30
        Краснодарский край	7 860 926,40	10 794 982,50	13 671 437,80	16 003 419,20	16 950 742,30	20 964 481,60	22 698 841,20	23 763 560,10	23 193 570,60	24 649 623,70	26 261 075,80	30 372 749,50	32 947 015,90	45 363 324,70	32 600 307	32 818 857,10	33 129 874	23 049 151,20	36 664 640,40	40 438 639,80
        Астраханская область	71 363,40	88 810,70	111 027,80	125 540,30	147 349,50	209 047,40	280 820,40	196 139,10	180 465,30	172 503	234 663,20	265 742,70	274 492,90	271 999,50	287 783,30	332 833,70	367 189,30	280 214,70	371 591,30	477 362,30
        Волгоградская область	285 120,50	345 984,10	450 200,10	483 559,30	539 971,90	493 941,70	566 890,10	583 116,50	654 634	815 907,60	760 962,10	802 669,80	863 601,90	909 749	708 421,10	762 650,20	710 313,70	392 968,70	313 969,60	407 545,20
        Ростовская область	209 967,80	210 258,90	408 566,50	401 728,50	439 722,80	453 778,10	556 198,50	351 299,80	621 575	702 861	684 411,80	704 494,90	751 381,50	739 730,20	590 549,80	868 063,20	738 397	620 049,10	650 931,50	577 375,40
        Город федерального значения Севастополь												100 916,50				25 785,50	176 559	95 646,50	158 389,40	98 001,90
    Северо-Кавказский федеральный округ								16 771 587,40	15 696 284,50	16 623 604,10	17 656 355,60	18 433 794,70	21 017 326,20	23 614 658	18 626 504,50	24 736 103,70	22 904 936,80	15 866 059,30	22 345 730,40	27 676 047,70
        Республика Дагестан	40 126,10	111 848,60	177 281,60	105 740,70	125 136,60	222 198,20	183 075,40	180 470,10	112 869	201 001,60	283 772	271 640,20	246 804,20	292 317,70	234 664,80	316 417,70	312 025,10	163 128,90	532 739,20	605 957,10
        Республика Ингушетия	0	2 840,60	7 508,40	0	9 447,80		12 400	31 177	40 589,90	45 393,60	49 672,90	36 332,10						23 647	61 720	99 147
        Кабардино-Балкарская Республика	209 081,10	298 913,10	362 792,20	382 067,70	607 568,80	625 426,30	869 188,40	830 321,50	753 006,70	868 263,50	1 029 483,60	999 434,10	1 084 610,40	971 146,90	477 240,30	879 352,30	843 583,20	692 575,10	1 063 507,60	1 324 730,20
        Карачаево-Черкесская Республика	92 383	90 802,60	92 206,20	40 193,60	49 219,10	51 477,80	49 050,20	45 402,90	30 761,40	33 815,40	32 190,80	35 635,30	37 742	67 350	63 479,10	85 626,80	20 875,60	8 133,90	18 599,60	35 334,50
        Республика Северная Осетия-Алания	54 644,40	62 551,70	51 500,40	60 729,80	85 697,20	132 174,50	173 655,10	193 959,50	138 604,20	157 761,90	136 012,80	248 389,20	238 592	227 497,80	216 886,60	206 353,20	194 802,50	144 109,60	100 228,50	122 201,20
        Чеченская Республика										0		49 430,30	33 184,40	27 364	12 314,60	0	32 705,60	42 757,70	35 391	144 615,50
        Ставропольский край	3 642 682,40	4 242 413,40	5 019 746,20	6 411 882,50	7 982 731,90	10 869 258,20	11 954 825,40	15 490 256,40	14 620 453,30	15 317 368,10	16 125 223,50	16 792 933,50	19 376 393,20	22 028 981,60	17 621 919,10	23 248 353,70	21 500 944,80	14 791 707,10	20 533 544,50	25 344 062,20
    Приволжский федеральный округ	6 556 308,80	7 651 895,80	9 508 558,30	11 662 955,10	13 319 686,40	17 437 218,40	15 800 477,10	16 119 239,40	18 263 776,90	19 830 174,40	21 104 580,40	22 440 861,20	23 962 868,50	23 356 807,50	22 615 938,10	24 609 272,80	25 119 707,60	19 015 025,90	22 805 553,70	26 466 630,80
        Республика Башкортостан	1 112 241,50	1 496 577,90	1 850 332,60	2 162 603,20	2 310 221,70	3 225 124,20	2 730 092,80	3 136 784,10	3 641 198	3 945 261,60	4 477 194,40	4 643 875,60	5 154 589,60	5 529 863,70	4 867 344,50	5 223 518,50	5 262 025,90	4 355 168,10	4 178 922	5 233 445,20
        Республика Марий Эл	90 845	106 572,40	181 304,90	174 811,80	198 384,10	244 283,10	246 328	222 447	271 510,90	325 494,90	363 493	383 960	350 678,30	333 695,20	374 262,30	363 606,90	327 145,10	203 826	307 690,70	393 779
        Республика Мордовия	79 726	92 875,20	127 076,40	154 743,50	166 307,80	194 681,50	189 549,50	204 465,30	238 448,10	235 636,30	232 588,90	245 310,50	242 696,60	233 838,40	230 601	232 302	241 553	143 188,90	197 159,20	265 516,30
        Республика Татарстан (Татарстан)	984 336,60	1 170 826,10	1 379 985,90	1 631 698,90	1 782 473,60	2 254 866,20	2 340 528,40	2 159 221	2 371 142,40	2 805 038	3 056 557,80	3 363 779,70	3 490 194,50	3 458 046,10	3 726 057,40	3 644 703,70	4 077 984,90	3 119 228	3 299 981,70	3 122 193,40
        Удмуртская Республика	497 990,50	473 991,70	524 724,40	674 364	868 938,30	925 766,40	1 038 237,20	1 086 478,90	1 209 097,90	1 328 264,80	1 392 537,50	1 549 417	1 402 594,90	1 489 705,90	1 548 670,30	1 589 071,40	1 560 050,20	1 363 815,80	1 559 674,90	1 886 366,60
        Чувашская Республика - Чувашия	218 839,70	277 829,50	391 327,20	445 761,90	500 875,70	655 176,60	591 167,90	541 309,80	758 403,60	737 245,50	772 308	858 955,50	911 462,80	971 411,60	1 007 112,40	1 077 375,90	1 115 421,10	735 912,10	1 069 252,10	1 389 599,20
        Пермский край	1 105 164,30	1 200 995	1 392 274,60	1 849 974,50	2 006 146,60	3 340 796,90	2 332 285,30	2 072 295,30	2 407 466,30	2 487 576,90	2 705 894,60	2 684 194,20	2 587 124,20	2 606 529,80	2 395 122,10	3 039 258,80	2 686 818,70	2 165 687,80	3 074 470,30	3 568 663,10
            Коми-Пермяцкий округ, входящий в состав Пермского края	0	0																		
        Кировская область	447 838,90	556 276,30	660 247,80	815 621,30	945 242,70	1 128 249,60	1 192 265,40	1 221 275,10	1 341 359,20	1 426 651,70	1 374 968,60	1 426 150,70	1 481 814,40	1 376 349,10	1 342 006,40	1 435 362,40	1 427 948,30	1 082 236,50	1 487 303,40	1 900 933,30
        Нижегородская область	385 925,80	441 739,10	527 081,50	701 157,60	884 979,70	1 021 313,80	1 097 980,60	1 212 153	1 179 612,60	1 157 456,30	1 469 587,80	1 681 766,30	1 725 311,20	1 532 352	1 453 233,60	1 696 296,50	1 781 687,90	1 136 494,10	1 645 545,60	1 845 043,30
        Оренбургская область	239 894,30	231 129,30	363 077,80	427 063,80	586 385,40	741 175,50	679 547,40	699 290,20	849 607,20	897 688,50	922 485,10	914 569,20	970 144,30	834 636	822 533,30	757 857,10	837 783,60	696 837,40	637 309	743 444,80
        Пензенская область	159 640,90	189 265,40	341 775,40	310 003,10	376 902,30	404 540,50	456 828,40	382 107,10	445 831,60	553 556,60	531 446,70	545 182,10	623 500,20	639 394,60	624 099	670 661,70	695 334,40	309 783,50	527 910,50	1 074 376
        Самарская область	662 871,40	828 222,40	1 054 623,80	1 479 969,30	1 740 975,90	2 180 349,80	1 885 425,90	1 877 194,10	2 119 510,20	2 402 092,30	2 217 968,10	2 493 185,90	2 936 567,20	2 763 633,20	2 653 646,60	3 061 481,80	3 312 930,70	2 705 912,90	3 082 424	3 242 759,60
        Саратовская область	295 699,40	328 389,40	409 375,60	485 815,70	569 175,40	671 375	579 387,90	742 683,20	848 485,90	892 436,20	965 043,10	1 016 147,80	1 231 189,40	811 109,50	897 304,20	1 120 153,30	1 096 331,10	656 491,70	1 084 479,30	1 125 743,60
        Ульяновская область	275 294,50	257 206,10	305 350,40	349 366,50	382 677,20	449 519,30	440 852,40	561 535,30	582 103	635 774,80	622 506,80	634 366,70	855 000,90	776 242,40	673 945	697 622,80	696 692,70	340 443,10	653 431	674 767,40
    Уральский федеральный округ	3 746 754,70	4 474 150,70	4 883 367,30	5 824 289,10	6 607 405,80	7 779 304,70	7 363 823,30	7 550 230,20	8 347 658,10	8 922 003,30	9 692 559,50	9 591 070,10	10 030 714,30	10 171 946,50	10 038 234,80	10 238 966,20	10 586 501,10	9 114 242,30	9 619 599,90	12 322 277,90
        Курганская область	208 463,60	270 740	130 717,90	173 033,30	264 145,10	243 894,70	224 770,50	254 737,30	378 358,30	423 036,10	502 714,10	526 726,60	620 509,40	700 319,20	538 223,40	605 227,80	628 170,70	359 054,90	534 411,80	614 493,70
        Свердловская область	1 085 317,90	1 420 361	1 603 374,80	1 756 551,90	2 021 528,30	2 591 025,40	2 090 461,80	2 181 531,40	2 474 665	2 683 708,30	2 824 700,10	2 883 238,50	2 910 379,20	2 688 058,40	2 617 081,40	2 433 787,40	2 732 866,30	2 232 545,90	2 855 985,40	3 031 974,70
        Тюменская область	1 284 989,60	1 423 913,90	1 679 896	2 044 587,40	2 334 558,80	2 804 783,90	2 910 883,70	2 967 869,40	3 339 427,20	3 592 731,10	4 319 792,90	4 239 048,80	4 376 444,10	4 672 605,20	4 887 857,70	5 068 683,40	5 064 292,10	4 639 909,50	3 983 815,20	5 785 504,90
            Ханты-Мансийский автономный округ - Югра (Тюменская область)	395 888,30	497 014	534 080,10	670 027,30	786 931	920 866,40	941 654	1 054 269,90	1 155 413,90	1 174 458,70	1 295 212,90	1 476 000,60	1 652 034,80	1 669 775,70	1 830 309,20	1 740 856,50	1 878 766,50	1 904 108,80	986 935,90	2 116 120,90
            Ямало-Ненецкий автономный округ (Тюменская область)	92 179	68 088,90	98 317	123 054,50	145 946,50	172 359	185 718	202 717	63 056	74 142	77 786	73 669	69 291,80	20 134,10						
            Тюменская область (без АО)										2 344 130,40	2 946 794	2 689 379,20	2 655 117,50		3 057 548,50					
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)														2 982 695,40	3 057 548,50	3 327 826,90	3 185 525,60	2 735 800,70	2 996 879,30	3 669 384
        Челябинская область	1 167 983,60	1 359 135,80	1 469 378,60	1 850 116,50	1 987 173,60	2 139 600,70	2 137 707,30	2 146 092,10	2 155 207,60	2 222 527,80	2 045 352,40	1 942 056,20	2 123 381,60	2 110 963,70	1 995 072,30	2 131 267,60	2 161 172	1 882 732	2 245 387,50	2 890 304,60
    Сибирский федеральный округ	4 741 681,60	5 182 919,90	6 723 467,40	7 846 751,60	8 550 104,10	10 953 430,90	11 289 418,20	11 187 037,40	12 269 565,30	13 380 780,30	13 623 793,50	13 778 540,80	14 928 965,50	15 194 259,80	15 049 787,30					
    Сибирский федеральный округ																14 682 319,20	15 419 938	12 143 438,90	15 654 048,60	16 893 776,90
        Республика Алтай	38 235,80	47 534,20	0	0	0	96 148,50	117 436,30	139 802,70	145 863,10	150 365,90	150 365,90	0	0	0	0	0	0		58	
        Республика Тыва	21 241,20	26 594,10	44 022,20	32 299	55 823	66 549,70	75 745,30	75 599,90	77 951,20	91 087,50	81 476,60	69 681,40	81 026,10	71 219,20	76 256,40	6 795	7 434	5 538	6 605,80	6 140
        Республика Хакасия	179 605,20	171 085,10	264 620,80	312 276,80	402 568	192 419	522 270,30	580 249	629 409,50	669 700,40	724 205	579 503,30	590 028,10	565 928,70	300 217,80	302 550,40	348 919,20	190 664,80	238 737,90	261 015,70
        Алтайский край	1 332 801,90	1 628 016,60	1 957 406,50	2 149 177	2 467 046,50	3 132 879,60	3 110 824,90	3 363 898,90	3 778 369,40	4 063 834,20	4 065 977,90	4 267 681	5 126 665,90	5 183 805,50	5 266 619,60	5 158 997,20	5 433 986,20	4 280 028,30	5 737 893,60	6 932 018
        Красноярский край	661 413,60	707 627,20	890 334,60	990 349,90	962 088,30	1 315 934,20	1 487 862,50	1 515 259	1 345 902,70	1 541 685,50	1 570 683	1 663 464,70	1 458 154,40	1 550 807,80	1 573 390,40	1 520 738,70	1 778 962,10	1 444 914,60	1 956 989,60	1 297 325,90
            Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край)	28 490	26 986	31 480	26 884																
            Эвенкийский автономный округ (Красноярский край)	0	0																		
        Иркутская область	584 761,70	698 463,50	852 788,50	1 042 975,70	1 059 857,10	1 282 897,10	1 183 694,10	1 172 744,10	1 254 280,30	1 273 808,30	1 418 538,90	1 361 086,30	1 411 535,70	1 407 143,20	1 372 496,40	1 341 825,20	1 441 591,70	1 120 759,80	1 430 979,60	1 482 157
            Усть-Ордынский Бурятский округ	2 052,90	1 445,80	4 368,60	6 567,20	6 199															
        Кемеровская область - Кузбасс	644 112,40	529 814,20	827 661,10	985 242	880 803,30	1 486 713,40	1 497 571,90	989 032	1 423 338,10	1 554 982,30	1 425 011,70	1 719 422,90	1 807 832,30	2 312 017,10	2 096 602,80	2 324 531,70	2 091 001,50	1 707 226,60	1 954 933,30	2 215 274,10
        Новосибирская область	432 483,20	539 236,30	671 550,10	944 867,80	1 083 453,40	1 353 975,80	1 412 640,10	1 400 840,40	1 448 214,40	1 615 988,80	1 565 981,20	1 607 571,50	1 683 676,60	1 678 731,20	2 096 066	2 209 978,80	2 423 995,80	1 943 482,50	2 651 517,20	2 923 009,60
        Омская область	371 942,60	378 987,90	535 210,30	564 841,60	698 239,40	847 707,80	783 743,90	863 310,80	935 851,40	1 056 110,90	1 214 483	1 273 367,20	1 381 741,60	1 279 167	1 094 796,20	1 250 890,90	1 245 330,70	956 507,70	864 406,90	915 828,20
        Томская область	150 915,30	170 654	259 033,70	293 004,10	354 434,70	479 450,70	491 333,10	486 416,40	557 030,30	554 507,10	580 751,40	489 385,60	560 378,70	398 454,10	518 248,50	566 011,30	648 716,80	494 316,60	811 926,70	861 008,40
    Дальневосточный федеральный округ	1 629 457,50	2 047 474,60	2 125 119,40	2 419 260,50	2 529 834,80	3 126 869,50	2 993 632,50	3 137 700,50	4 377 636,80	4 404 411,70	4 628 992,50	5 093 946,20	5 116 163,70	4 785 883,20	4 389 791,30					
    Дальневосточный федеральный округ																4 774 022,20	6 329 312,90	3 980 277,50	3 842 520,90	3 714 515,70
        Республика Бурятия	206 935	173 750,50	272 997,70	318 699	353 322	435 999,60	439 999,60	445 336,70	518 857,90	597 781,20	576 398,30	512 028,70	497 374,90	395 014	327 197	325 513	355 371,50	286 807,40	412 275,40	553 879,80
        Забайкальский край	117 233,70	111 156,30	147 841,90	213 018,70	232 468,40	262 755,50	166 296,20	154 547,50	154 497	210 928,20	249 920,60	235 348,20	330 551,20	351 972	327 896,20	347 641,60	242 456,20	159 333,50	167 586,30	161 756,30
            Агинский Бурятский округ (Забайкальский край)	3 753,40	3 294,20	3 092,80	3 846	232 468,40															
        Республика Саха (Якутия)	243 512,60	296 350,30	352 862,30	391 656	396 130,50	488 020,50	500 667	557 676,70	664 933,90	639 449,80	799 168	892 427,10	1 049 561,70	933 544,60	1 116 686,70	876 111,90	938 239,50	142 185,90	222 981,80	193 073
        Камчатский край	212 712,70	249 690,80	190 786,70	177 445,50	294 746,30	344 659,20	212 202,60	219 364,10	217 157,20	118 175	158 329,60	153 658,20	135 819,30	170 701,80	203 073	203 847	98 063	55 215	102 267	64 493,60
            Корякский округ, входящий в состав Камчатского края	0	0																		
        Приморский край	556 328,50	718 242,90	721 437,50	845 817	734 496,90	1 056 567,40	1 130 639,70	1 268 660,30	2 012 792,70	1 958 856,40	2 055 869,10	2 253 355,10	2 259 618	2 257 634,70	1 263 626	918 716,30	2 194 837,20	1 384 438	694 431,50	811 562
        Хабаровский край	208 020,30	226 396,20	256 970,10	264 804	296 645,80	341 735,60	344 893,20	318 980,20	339 893,60	363 289	372 237,90	356 830,70	380 572,20	202 589,80	569 147,70	586 707,60	573 163,70	473 083	606 019,50	250 139,50
        Амурская область	129 948,50	144 232,80	214 015,30	208 710,40	258 815,10	308 658,30	277 210,40	284 052,80	337 950,50	353 841,40	383 654,20	398 280,30	387 265,60	308 205,90	365 051,90	370 789,60	385 497,40	378 544,90	413 496,40	501 485,40
        Магаданская область	46 790,90	82 929,50	37 724,10	100 600,10	91 702,20	150 459,90	145 258	142 431,60	257 607,80	357 053	347 910,80	355 426,90	319 537,40	299 837,90	215 384,40	392 010,20	504 245,60	55 613,80	55 207,10	51 499
        Сахалинская область	134 774,20	172 158,60	185 329,10	239 388,20	275 591,20	223 816	142 687	128 098	361 721	432 266,60	325 442,20	484 801	403 936,50	392 721	430 918	511 192	805 764,80	821 029,60	891 392	844 516,30
        Еврейская автономная область	97 369,80	157 473,50	165 994,30	190 839,30	181 706,80	212 952,60	240 074,60	218 436,80	185 580,10	181 480,50	186 380,70	199 166,90	179 853	220 647,50	211 570,90	213 771	206 914,30	217 052,80	259 056,90	282 110,80
        Чукотский автономный округ	0	0													14 332,70	27 722	24 759,70	6 973,60	17 807	
    Крымский федеральный округ												4 419 677	8 932 627							
