Регион;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Российская Федерация;38882757,5;47382647,7;57417133,9;70444974,4;77491653,2;98352023,3;100332952,9;105047342,8;110624172,2;116777613,3;123465683;134877822,3;151222578,4;166372061,6;145858711,7;156680367,4;160024971,3;117735295;160108416,1;174352333,5
    Центральный федеральный округ;6828129,9;8364552,2;10323428,1;13660238,2;14367455,3;18973116,5;19826596,6;19288203,8;20659451,8;20812221;21793348;21409194,5;21561695,6;20252589,2;17935010,7;17520771,6;17647926,2;13984282,4;16491508,4;17236307,9
        Белгородская область;84274;127394,6;2000918,6;293890,2;359806,1;459280,3;415323,1;463591,3;520089,6;558789,8;551135,6;562041,4;618643,2;681112,9;559746,7;671489,7;717499,5;588679;685790,4;707580,3
        Брянская область;224642,1;247825,5;280828,5;316565,6;305412;441512;323196,3;399381,9;438295,1;451966,9;424655,1;372810,3;433071,8;382831,5;376101,6;319734,7;329240,8;294010,7;347540,1;195509,8
        Владимирская область;161242,9;191237;279561,6;301160,1;340148,7;414640,7;424346,3;401282,5;441895,7;464352,2;469985,1;529442,4;493727,8;289714;261885,9;253407,3;267703,6;193552,9;247511,6;341352
        Воронежская область;334112,2;437035;526859,9;587844,8;673039,6;711730,3;835380,5;784736,4;839231;956158,3;993702,8;1121767,5;1189963,5;1101254,4;1222008,2;1106960,2;1075262,1;578412,5;750754,9;673430,5
        Ивановская область;151037,5;183277,6;234713;310161,6;348089,3;439771,2;503338,7;486057,8;583627,2;785579,6;806957,4;915106,6;952034,7;1167860,8;1112725,8;1028464;1089695,1;501061,1;831761,4;1014330,6
        Калужская область;147786,8;158327,2;210280,5;262092,1;331919,4;378866,9;390078;424207,8;385454,7;428138,3;458715,3;548653,6;508721,8;479428,6;338079,3;317651,6;412674;155273,8;260918,7;365631,4
        Костромская область;125656,8;150568;184427,4;274246,2;336899,2;464118,6;352056,5;364239,9;401273,7;446186,2;443208,9;442221,5;503811,3;620450;174456,7;109312,5;105402;78136;165209,3;187070,9
        Курская область;285374,4;313514;359891,9;386714,1;440303,2;498306,1;576954,5;613219,6;656292,7;725459,5;759569,6;803603,5;714936,2;551593;699516,2;722659;790764,8;639699,8;567116;392420
        Липецкая область;115701,5;165215,4;241823,7;246602;283806,6;288579,3;258883,9;237924,6;252157;238198;310516,7;324334;356428;402164,4;355110,2;238111,9;250379,9;188564;201007;214711
        Московская область;3224117;4059510,2;4834149,5;7218049,8;7268970,6;10530935,8;10938550,3;10422149,2;10820411,4;10555781;11706598,4;10327636,5;9849844,8;9400238,4;7823551,2;7924362;7616635,1;6489879,7;7293578,6;6829162,5
        Орловская область;114252,2;102296,4;111723,6;144800,9;125811,6;172129,1;169534,3;144469,8;151012,3;153700,8;169122,8;175022,9;137527,6;128859,4;121181,7;120768,9;128966,8;76790,8;119537,3;176991
        Рязанская область;285942,9;354613,8;407866,5;479473,9;425435,6;602099,5;693102,8;662149,2;750591,1;827841,8;757300,2;783077,2;803741,6;521440,8;433665,6;320233,8;364051,1;277295,4;347998,3;608034,9
        Смоленская область;244685,2;257825;300832,3;268445;280062,8;364654,3;396609,8;385960,4;499402,7;515923,8;475836,1;559469,9;542278,9;556036,1;552375,9;543552,9;378053,3;332486;231179;289900,1
        Тамбовская область;130012,8;145711,2;244854,1;260866,9;228057,1;289171,4;322588,7;271005,3;330089,8;337027,9;345844,1;425292,5;333997,1;308052,3;276197,1;216793,4;272036;172818,7;260128,6;344924,9
        Тверская область;326036,8;442056,7;561251,7;645790,2;639240,5;721315,4;824506,4;795801,3;771307,9;764363,7;830238,3;793115,5;949891,1;942196,6;883160,5;867808,3;853011,2;769846,3;706516,5;822064,2
        Тульская область;270475,7;268159,7;318181,5;457084,9;478492,7;433377,9;528276,9;443060,6;572808,8;740621,7;545635;725954,5;857154,8;563223,1;517164,1;554890,4;502191,2;400185,5;458299,6;627787,1
        Ярославская область;327746,1;385935,4;572111,1;622567,3;718429,5;758085,8;795240,3;801822,7;924686,5;975451,7;1055857,8;1112964,9;1125122,1;989836,5;1057518,9;1166875,4;1274571,4;1060461;1308423,5;1646005
        Город Москва столица Российской Федерации город федерального значения;275033;374049,5;453152,7;583882,6;783530,8;1004541,9;1078629,3;1187143,5;1320824,6;886679,8;688468,8;886679,8;1190799,3;1166296,4;1170565,1;1037695,6;1219788,3;1187129,2;1708237,6;1799401,7
