Регион;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Российская Федерация;2 347;2 259;2 233;2 173;2 148;2 118;2 147;1 997;1 945;1 959;1 905;1 840;1 905;1 878;1 832;1 809;1 755;1 777;1 752;1 768;1 742
    Центральный федеральный округ;458;432;436;420;417;399;398;381;373;376;359;345;341;331;305;300;281;290;287;290;289
        Белгородская область;8;9;9;9;11;11;11;11;11;11;11;11;11;11;10;11;11;11;11;11;11
        Брянская область;20;19;19;18;17;17;21;15;16;15;15;16;15;14;12;14;15;14;14;14;14
        Владимирская область;26;23;22;19;18;16;16;14;13;12;12;10;10;9;8;6;6;7;6;8;9
        Воронежская область;20;21;21;21;21;22;22;20;20;20;18;18;19;19;19;17;16;15;15;15;14
        Ивановская область;20;19;19;18;18;18;17;17;16;19;21;18;19;16;14;14;14;14;14;17;15
        Калужская область;13;12;11;11;12;12;11;11;10;10;10;9;10;10;11;11;10;10;10;9;8
        Костромская область;20;20;20;18;21;20;20;18;18;17;16;15;14;14;14;13;12;12;12;10;9
        Курская область;15;14;13;14;14;14;13;12;12;12;12;12;12;12;12;11;10;10;10;8;8
        Липецкая область;14;15;16;16;15;14;14;13;13;11;10;10;10;9;8;6;6;6;5;5;5
        Московская область;134;121;132;122;122;113;116;119;118;119;106;103;104;103;95;87;81;84;86;86;87
        Орловская область;7;7;6;6;7;6;6;5;5;5;5;5;4;4;3;3;3;3;3;3;3
        Рязанская область;13;11;13;13;12;12;11;11;11;13;13;12;13;13;12;13;12;12;12;13;11
        Смоленская область;17;17;14;13;13;13;12;11;11;12;12;11;11;11;12;13;13;13;13;13;13
        Тамбовская область;14;14;14;15;14;14;14;14;12;13;12;12;11;10;9;10;7;7;7;7;7
        Тверская область;33;31;29;27;26;25;26;25;23;22;21;20;16;17;17;16;16;16;16;16;16
        Тульская область;35;30;29;29;28;27;25;23;23;24;23;21;21;22;21;22;21;23;24;21;21
        Ярославская область;23;23;24;25;23;21;19;18;18;18;18;18;18;17;13;15;14;13;13;14;14
        Город Москва столица Российской Федерации город федерального значения;26;26;25;26;25;24;24;24;23;23;24;24;23;20;15;18;14;20;16;20;24
    Северо-Западный федеральный округ;199;192;186;171;175;165;160;153;160;157;151;152;143;144;136;136;130;131;123;130;124
        Республика Карелия;14;13;12;11;11;11;8;8;8;7;7;7;5;5;5;5;5;5;5;3;3
        Республика Коми;20;19;17;17;19;18;17;16;16;16;16;16;15;15;15;13;13;13;10;10;9
        Архангельская область;21;21;21;20;20;18;18;17;17;17;16;17;14;14;13;11;11;12;9;12;10
            Ненецкий автономный округ (Архангельская область);;;;0;0;0;;;;0;0;0;;;;;;0;;;
            Архангельская область (без АО);;;;;;;;;;;;;;;;11;;;;;
            Архангельская область (кроме Ненецкого автономного округа);;;;;;;;;;;;17;14;14;13;11;11;12;9;12;10
        Вологодская область;23;24;24;24;24;24;21;21;21;21;20;18;17;16;17;16;15;15;14;17;17
        Калининградская область;18;19;17;15;17;18;20;16;18;19;18;18;16;18;13;15;15;14;14;16;17
        Ленинградская область;23;21;22;19;18;16;15;17;21;19;17;19;20;20;20;21;21;24;21;22;20
        Мурманская область;11;10;10;10;9;8;8;8;8;8;9;9;9;9;9;9;9;8;8;8;6
        Новгородская область;14;13;13;13;13;13;13;13;12;12;12;12;12;12;12;12;12;12;13;13;11
        Псковская область;11;12;10;9;7;7;7;6;6;5;6;6;6;6;5;5;5;5;8;7;7
        Город Санкт-Петербург город федерального значения;44;40;40;33;37;32;33;31;33;33;30;30;29;29;27;29;24;23;21;22;24
    Южный федеральный округ (по 2009 год);442;441;466;462;462;470;487;466;;;;;;;;;;;;;
    Южный федеральный округ (с 2010 года);;;;;;;;;286;288;271;253;249;255;;;;;;;
