Регион;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Российская Федерация;4 953 271;4 961 015;5 472 792;5 941 198;6 084 758;6 071 425;6 356 495;5 774 527;5 674 233;5 732 863;5 750 682;5 682 543;6 087 366;6 100 583;6 440 175;5 959 408;6 415 018;6 704 444;4 044 485;5 992 352;6 561 834
    Центральный федеральный округ;1 044 953;994 997;1 128 057;1 196 797;1 243 694;1 161 785;1 221 073;1 036 814;1 024 413;1 026 536;1 006 952;1 030 324;1 042 657;992 016;994 190;851 537;911 635;927 783;566 656;814 823;911 637
        Белгородская область;12 217;11 286;17 021;14 777;20 264;22 541;24 974;24 342;25 986;25 212;24 911;25 742;26 598;26 110;25 317;24 788;24 709;25 535;16 584;22 748;22 311
        Брянская область;40 215;35 471;37 126;39 404;30 529;31 459;36 231;36 183;32 773;36 987;36 008;37 504;34 490;30 550;30 532;26 999;30 275;29 684;13 828;18 582;21 950
        Владимирская область;32 967;27 142;28 589;33 658;30 459;28 430;32 425;29 767;27 854;30 036;27 574;26 922;27 784;24 241;21 006;19 484;20 214;17 361;8 116;19 623;17 561
        Воронежская область;50 527;50 420;55 004;60 389;60 585;60 135;61 663;57 204;54 373;58 220;59 821;58 581;58 262;59 028;60 306;56 686;57 235;55 666;26 229;33 669;38 384
        Ивановская область;38 767;42 368;46 956;48 022;48 625;49 604;55 321;54 539;52 195;61 280;78 087;80 622;84 208;64 329;64 971;60 866;62 928;60 314;31 102;50 071;61 153
        Калужская область;23 785;32 972;30 956;39 112;47 987;38 448;29 274;26 958;23 990;27 522;27 513;27 820;30 470;28 565;28 227;25 845;25 664;29 244;15 167;16 051;19 206
        Костромская область;20 877;18 597;28 106;27 555;51 716;52 770;49 874;34 407;35 813;39 147;39 225;38 081;36 035;34 050;43 766;37 199;39 239;36 370;26 559;37 464;42 653
        Курская область;28 093;25 848;24 428;31 473;24 062;26 689;27 354;25 022;25 502;24 125;26 470;26 197;26 232;23 437;22 531;20 706;20 196;23 344;9 003;9 522;10 246
        Липецкая область;32 548;37 000;43 379;46 558;38 780;37 700;39 143;27 157;27 720;24 975;20 842;18 268;19 669;19 461;15 939;13 891;14 427;13 186;6 564;7 824;7 657
        Московская область;487 369;434 131;520 295;524 464;559 198;496 282;553 359;430 608;445 932;403 453;370 580;394 620;405 314;383 290;400 830;293 158;323 667;329 789;226 726;316 723;346 203
        Орловская область;13 602;11 383;12 553;10 711;13 062;12 152;10 771;11 457;6 728;7 256;10 104;10 587;9 771;7 909;7 451;7 279;6 478;5 954;1 547;5 199;6 293
        Рязанская область;29 650;28 467;29 541;33 861;35 578;27 520;26 363;25 268;25 632;28 791;31 084;30 827;30 540;31 281;35 600;33 986;36 795;42 131;24 023;31 212;35 506
        Смоленская область;29 342;29 169;29 336;30 846;26 821;27 404;24 419;25 605;24 948;33 169;26 805;23 216;25 105;25 916;29 484;26 185;28 170;21 429;8 851;15 361;20 938
        Тамбовская область;19 148;21 851;22 289;32 535;26 381;26 025;28 562;27 047;20 785;24 044;20 828;22 141;22 395;17 559;18 447;18 311;13 384;14 606;7 941;11 081;13 383
        Тверская область;75 181;67 425;69 611;76 756;74 634;67 681;72 057;64 725;63 722;61 318;51 709;59 173;53 603;63 237;48 594;45 698;43 054;42 295;29 547;51 701;42 086
        Тульская область;43 781;41 209;45 791;54 425;66 313;56 903;50 101;52 868;46 899;48 240;48 561;46 083;54 233;46 908;41 780;45 446;48 857;40 096;22 333;27 822;35 833
        Ярославская область;44 596;59 402;63 508;66 636;67 591;76 646;73 260;64 872;64 385;70 352;76 038;79 851;76 687;68 897;67 715;62 344;73 083;72 368;49 528;77 297;85 230
        Город Москва столица Российской Федерации город федерального значения;22 288;20 856;23 568;25 615;21 109;23 396;25 922;18 785;19 176;22 409;30 792;24 089;21 261;37 248;31 694;32 666;43 260;68 411;43 008;62 873;85 044
    Северо-Западный федеральный округ;423 949;409 788;431 885;365 524;501 751;379 927;410 625;363 349;391 587;400 705;430 932;395 710;408 109;448 914;394 575;393 737;377 272;412 036;259 983;353 727;359 661
        Республика Карелия;32 499;28 334;24 015;25 979;27 498;25 156;20 274;24 144;21 824;19 211;16 818;17 144;16 335;17 358;17 141;16 930;16 143;16 742;10 377;12 945;12 273
        Республика Коми;21 763;20 035;17 487;16 199;17 330;18 710;18 514;18 171;19 082;16 447;17 147;20 688;20 694;19 776;16 686;15 510;16 170;14 106;7 135;8 177;8 403
        Архангельская область;26 931;27 142;29 791;28 656;31 358;29 258;34 345;28 218;28 018;29 413;29 382;33 575;28 001;25 085;;20 322;20 803;21 947;7 918;14 682;23 042
            Ненецкий автономный округ (Архангельская область);;;;;;;;;;;0;0;;;;;;;;;
            Архангельская область (без АО);;;;;;;;;;;;;;;23 466;20 322;;;;;
            Архангельская область (кроме Ненецкого автономного округа);;;;;;;;;;;;33 575;28 001;25 085;23 466;20 322;20 803;21 947;7 918;14 682;23 042
        Вологодская область;20 609;29 899;39 869;42 467;41 326;41 503;42 298;40 464;38 845;38 771;37 083;38 996;37 274;34 839;42 981;31 173;30 412;31 895;19 815;32 071;37 702
        Калининградская область;39 403;51 923;44 066;46 342;46 500;50 727;69 682;43 360;44 405;59 088;61 468;59 347;61 629;61 939;49 092;53 652;54 143;57 196;39 108;58 115;61 487
        Ленинградская область;31 253;28 874;25 872;23 694;24 579;19 891;21 745;22 035;33 885;26 206;22 715;30 205;26 551;34 036;23 787;45 500;29 512;34 320;22 018;23 382;19 283
        Мурманская область;19 935;17 913;17 466;18 254;15 834;16 381;16 150;14 138;13 142;15 120;13 122;13 434;14 604;14 828;16 263;13 945;20 586;27 549;22 911;36 605;35 204
        Новгородская область;19 508;16 576;18 381;20 278;21 880;22 686;24 224;21 355;20 957;27 259;28 499;31 281;34 452;37 891;35 626;34 400;32 627;36 428;24 220;37 500;40 825
        Псковская область;18 115;25 217;18 941;22 118;19 083;18 236;19 301;17 917;16 056;16 416;15 218;17 857;21 692;52 700;32 983;33 505;27 196;31 329;14 584;19 550;24 134
        Город Санкт-Петербург город федерального значения;193 933;163 875;195 997;121 537;256 363;137 379;144 092;133 547;155 373;152 774;189 480;133 183;146 877;150 462;136 550;128 800;129 680;140 524;91 897;110 700;97 308
    Южный федеральный округ (по 2009 год);1 386 050;1 485 485;1 576 367;1 821 086;1 756 023;1 837 383;1 895 387;1 843 100;;;;;;;;;;;;;
    Южный федеральный округ (с 2010 года);;;;;;;;;1 191 643;1 128 609;1 134 408;1 104 960;1 276 052;1 242 958;;;;;;;
    Южный федеральный округ (с 29.07.2016);;;;;;;;;;;;;;;1 886 376;1 692 409;2 067 251;2 217 584;1 355 390;1 905 248;2 025 369
        Республика Адыгея (Адыгея);6 090;7 699;7 634;9 208;8 137;6 785;2 809;14 516;10 310;7 114;4 805;4 923;2 259;1 972;6 372;6 663;6 719;6 462;3 568;5 008;5 240
        Республика Калмыкия;600;567;570;1 858;1 445;570;1 340;1 120;937;1 333;1 205;1 034;693;995;926;930;846;1 046;300;752;500
        Республика Крым;;;;;;;;;;;;;195 915;402 449;422 620;442 287;734 280;827 480;413 866;544 041;419 787
        Краснодарский край;870 644;1 018 651;1 056 547;1 207 733;1 138 889;1 213 552;1 239 161;1 140 351;1 097 747;1 024 322;1 033 106;995 469;1 179 458;1 150 801;1 377 907;1 168 328;1 207 426;1 287 583;889 356;1 292 262;1 532 541
        Астраханская область;9 073;7 643;9 737;9 463;10 246;11 523;10 596;10 917;9 205;7 639;6 904;8 647;8 345;7 377;8 602;7 884;6 954;8 362;3 972;7 617;7 036
        Волгоградская область;93 962;44 756;54 491;54 926;52 291;49 212;42 840;45 312;41 412;42 234;36 826;38 188;35 997;34 126;30 472;29 251;31 014;30 432;14 789;20 638;25 860
        Ростовская область;32 032;29 941;31 942;46 067;39 453;40 416;42 725;41 483;32 032;45 967;51 562;56 699;49 300;47 687;39 477;37 066;34 561;46 544;24 364;28 408;30 724
        Город федерального значения Севастополь;;;;;;;;;;;;;5 011;;;;45 451;9 675;5 175;6 522;3 681
    Северо-Кавказский федеральный округ;;;;;;;;;576 010;595 014;609 779;605 385;645 149;646 329;689 307;636 754;669 543;672 113;435 347;694 953;793 774
        Республика Дагестан;9 459;13 187;11 958;18 564;12 904;15 388;15 327;17 342;12 376;13 793;20 265;19 405;16 868;17 357;40 318;28 805;29 636;19 596;16 407;42 028;47 049
        Республика Ингушетия;;;380;662;0;906;;1 300;1 803;2 228;2 129;2 502;2 380;;;;;;7 796;14 918;17 182
        Кабардино-Балкарская Республика;26 281;34 725;43 120;46 390;44 248;47 939;60 266;92 524;60 003;55 997;57 511;53 323;55 623;44 662;50 088;40 863;41 394;46 933;22 008;35 061;47 692
        Карачаево-Черкесская Республика;7 273;6 939;13 798;13 110;12 235;13 006;11 597;8 238;9 324;9 510;6 066;5 868;5 040;6 015;8 675;8 065;8 453;8 042;4 017;8 095;9 148
        Республика Северная Осетия-Алания;9 852;8 063;7 677;9 039;8 030;8 288;9 087;13 447;10 459;10 401;10 635;11 496;12 252;7 330;8 869;7 578;7 621;7 319;5 483;8 557;11 483
        Чеченская Республика;;;;;;;;;;;0;0;1 386;2 543;2 998;1 710;3 052;2 484;2 758;3 333;6 007
        Ставропольский край;320 784;313 314;338 513;404 066;428 145;429 798;459 639;456 550;482 045;503 085;513 173;512 791;551 600;568 422;578 359;549 733;579 387;587 739;376 878;582 961;655 213
    Приволжский федеральный округ;960 157;940 244;1 075 386;1 171 025;1 231 986;1 346 369;1 426 274;1 199 413;1 189 315;1 269 821;1 241 735;1 235 958;1 243 572;1 124 695;1 190 228;1 125 001;1 158 090;1 173 347;694 086;1 120 921;1 180 073
        Республика Башкортостан;155 238;167 342;187 289;210 429;224 748;242 675;254 795;229 998;227 274;237 582;240 095;255 664;244 815;229 657;248 475;233 670;228 843;232 957;150 944;250 963;240 211
        Республика Марий Эл;32 230;33 874;37 556;42 003;52 171;48 431;41 565;37 450;41 329;45 642;42 229;42 947;45 637;32 648;30 345;30 979;30 097;29 852;15 056;23 434;25 992
        Республика Мордовия;15 896;13 727;15 589;19 385;18 954;19 526;21 757;19 184;18 785;19 455;18 051;20 114;19 412;16 950;17 925;21 345;16 039;15 742;7 602;10 639;15 307
        Республика Татарстан (Татарстан);115 847;116 097;146 215;161 820;151 108;167 791;161 573;139 804;132 224;162 732;158 828;140 881;150 178;158 552;160 096;152 014;161 424;157 670;96 965;172 847;168 498
        Удмуртская Республика;55 844;52 906;56 650;78 670;84 388;93 719;88 329;75 548;82 176;91 552;81 443;95 540;101 355;68 763;79 137;70 528;73 134;73 311;47 874;72 155;71 747
        Чувашская Республика - Чувашия;38 774;33 489;43 381;56 322;53 823;69 592;68 113;60 978;64 167;63 613;49 587;52 792;53 280;50 269;53 763;48 635;49 641;52 646;28 499;55 206;62 504
        Пермский край;128 241;130 129;140 975;132 014;143 966;138 015;143 105;130 469;123 771;143 565;138 576;131 757;130 517;123 947;135 957;132 828;147 110;155 863;87 638;137 050;148 676
        Кировская область;63 363;54 434;62 774;65 874;70 022;71 480;72 765;68 502;67 217;69 555;68 649;64 815;67 488;64 443;62 615;59 124;59 271;61 047;36 296;49 311;62 418
        Нижегородская область;87 224;84 263;86 769;93 660;102 852;123 739;189 838;94 789;103 417;108 083;111 849;112 187;105 517;77 184;76 677;78 658;82 489;87 010;44 031;67 282;78 585
        Оренбургская область;54 771;44 038;47 342;38 298;48 328;66 835;57 442;53 059;54 498;49 915;48 468;49 389;50 619;41 181;42 806;42 184;41 308;40 985;25 048;31 201;39 347
        Пензенская область;32 854;31 029;35 462;45 217;39 661;44 702;39 440;40 062;34 794;49 550;43 057;38 673;35 599;29 820;31 522;29 160;31 847;30 733;17 280;25 507;27 330
        Самарская область;106 929;105 724;118 792;115 088;129 547;141 671;169 740;139 903;129 803;133 607;141 488;125 615;127 242;129 338;159 041;131 473;140 940;144 963;92 076;97 380;104 026
        Саратовская область;32 882;31 976;51 703;66 234;64 240;67 885;70 529;66 359;56 717;52 204;51 974;54 467;63 395;56 257;44 646;49 717;53 712;51 983;23 335;92 272;99 250
        Ульяновская область;40 064;41 216;44 889;46 011;48 178;50 308;47 283;43 308;53 143;42 766;47 441;51 117;48 518;45 686;47 223;44 686;42 235;38 585;21 442;35 674;36 182
    Уральский федеральный округ;392 256;408 647;461 156;494 153;484 420;492 735;494 823;453 209;406 417;438 802;446 766;443 158;427 748;394 386;408 472;423 111;412 900;428 879;248 505;359 452;427 114
        Курганская область;26 470;29 046;29 806;42 679;38 971;40 149;42 678;40 684;37 332;39 296;40 192;41 983;42 168;42 666;43 992;44 648;40 780;45 290;21 359;27 609;34 544
        Свердловская область;167 518;143 255;159 305;167 986;184 986;188 506;204 304;143 887;131 450;130 244;132 162;136 857;134 970;121 816;117 819;116 215;112 799;117 216;63 293;96 694;109 372
        Тюменская область;65 807;102 753;118 116;130 784;97 959;108 781;100 151;94 468;84 017;101 991;107 540;109 595;104 580;93 160;115 832;125 777;120 726;121 507;69 369;101 125;131 706
            Ханты-Мансийский автономный округ - Югра (Тюменская область);11 754;12 030;12 653;13 373;15 132;14 727;17 251;20 703;17 391;23 576;18 067;16 958;15 164;15 039;14 834;14 559;14 821;15 014;7 205;10 593;13 902
            Ямало-Ненецкий автономный округ (Тюменская область);2 071;3 128;2 793;3 097;3 273;3 488;3 036;3 323;1 985;1 262;1 502;1 502;1 502;946;263;;;;;;
            Тюменская область (без АО);;;;;;;;;;;;;;;;111 218;;;;;
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);;;;;;;;;;;;91 135;87 914;77 175;100 735;111 218;105 905;106 493;62 164;90 532;117 804
        Челябинская область;132 461;133 593;153 929;152 704;162 504;155 299;147 690;174 170;153 618;167 271;166 872;154 723;146 030;136 744;130 829;136 471;138 595;144 866;94 484;134 024;151 492
    Сибирский федеральный округ;564 006;544 417;592 097;676 618;686 156;682 639;722 669;702 541;733 661;714 446;723 670;716 958;696 482;692 501;727 861;678 551;;;;;
    Сибирский федеральный округ;;;;;;;;;;;;;;;;;626 201;656 486;377 446;581 475;693 467
        Республика Алтай;1 558;2 434;2 293;2 103;2 329;2 416;2 546;2 292;2 245;2 114;2 089;2 089;1 558;1 762;2 251;2 271;1 984;2 103;435;1 858;3 082
        Республика Тыва;3 010;2 359;2 153;3 382;625;2 499;2 874;2 747;3 063;4 912;5 053;2 500;1 857;1 972;2 527;2 618;2 535;2 810;2 194;2 727;4 380
        Республика Хакасия;23 921;24 846;21 828;27 357;27 607;27 962;11 419;24 036;25 445;25 075;26 018;24 038;23 563;21 784;23 832;21 630;22 695;20 446;25 370;15 471;20 841
        Алтайский край;114 726;115 099;124 364;135 914;136 687;145 973;148 741;136 137;137 359;147 731;161 006;155 677;163 153;186 093;178 221;161 443;157 675;164 166;105 767;174 517;188 260
        Красноярский край;62 023;65 371;70 793;77 811;82 384;83 789;106 308;114 027;101 107;89 637;76 392;75 814;81 413;71 146;120 354;65 751;63 482;64 882;38 284;59 854;69 759
            Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край);1 149;1 322;1 134;1 415;903;;;;;;;;;;;;;;;;
        Иркутская область;76 720;56 459;58 303;80 113;77 752;76 098;94 194;66 791;66 816;64 000;62 102;63 714;59 808;57 783;56 679;54 303;54 448;53 587;23 873;37 559;48 802
            Усть-Ордынский Бурятский округ;1 157;924;949;1 110;1 166;1 165;;;;;;;;;;;;;;;
        Кемеровская область - Кузбасс;88 519;81 032;94 458;100 376;100 061;83 396;79 898;81 775;90 773;106 063;106 119;103 746;102 619;103 597;91 447;86 111;83 037;87 660;39 300;87 802;116 332
        Новосибирская область;73 323;73 140;73 940;90 914;103 580;108 257;114 540;100 228;114 918;103 736;104 352;103 341;86 158;76 840;84 528;111 497;132 419;137 236;92 501;144 844;167 924
        Омская область;50 046;58 675;69 276;73 119;73 275;70 429;72 593;90 801;115 882;94 633;97 216;104 278;103 877;107 100;98 553;105 679;87 172;101 150;39 549;36 172;49 349
        Томская область;18 929;16 283;23 360;28 080;27 595;28 885;31 861;28 732;24 824;27 716;26 966;27 377;24 212;20 939;22 712;21 457;20 754;22 446;10 173;20 671;24 738
    Дальневосточный федеральный округ;181 900;177 437;207 844;215 995;180 728;170 587;185 644;176 101;161 187;158 930;156 440;150 090;146 671;156 335;149 166;158 308;;;;;
    Дальневосточный федеральный округ;;;;;;;;;;;;;;;;;192 126;216 216;107 072;161 753;170 739
        Республика Бурятия;31 095;29 412;29 051;32 857;33 352;31 508;36 617;33 081;31 852;30 738;36 963;36 241;30 788;26 214;31 206;30 257;25 601;29 050;17 700;23 830;33 017
