Регион;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Российская Федерация;33 778 640,70;39 754 350,70;50 823 085,50;61 116 007,26;68 777 068;82 258 223,70;83 812 574,90;83 275 867,10;89 683 671,80;97 411 112;100 286 118,80;113 885 409,80;128 648 357,30;138 111 537,90;135 752 154,90;141 583 124,80;152 551 188,20;104 853 741,80;166 200 370,60;195 144 613,20
    Центральный федеральный округ;5 434 905,60;6 900 355,80;8 126 482,80;10 433 274,60;11 392 385,40;13 552 217,80;12 917 084,30;12 261 555,90;13 045 458,40;13 502 398,90;13 562 506,80;14 530 145,40;15 014 865,20;14 934 525,40;13 846 118,50;13 944 259,50;14 964 692,50;9 821 052,20;14 648 767,50;18 177 571,60
        Белгородская область;57 075,70;64 512;139 836;231 367,90;307 452;397 732;399 760,10;419 402,10;454 880,70;489 073,40;472 147;533 297,40;552 725,40;536 517,90;537 112,80;555 975;593 591,30;482 547,30;596 316;512 753
        Брянская область;205 563,30;257 349,40;280 903,20;257 100,40;295 768,70;420 772,50;360 085;336 163,10;367 119,10;401 328,90;399 992,90;353 475,20;351 620,20;435 020,50;412 640;326 030,40;439 845,90;366 596,10;473 969,30;495 809,40
        Владимирская область;136 463,40;181 514,70;273 135,70;305 061,80;317 173,30;391 289,20;407 526,30;379 735,50;399 265,10;419 724,60;443 777,80;482 921,60;452 707,10;439 273,80;468 941,70;316 011,50;290 397,30;124 911,10;194 101,40;301 996,60
        Воронежская область;311 460,40;432 724,90;518 569;581 459,20;591 722,30;661 388,50;686 235,50;658 945,20;719 792,50;789 980,40;818 959,10;850 421,50;850 394,20;1 061 849,30;840 251,80;804 771;797 385,50;394 040,10;520 571;596 352,70
        Ивановская область;199 337,60;242 354,80;307 311,80;379 719,10;442 914,40;561 732,80;611 579,80;588 723,90;705 523,80;790 886;813 787,30;919 930,10;906 749,70;974 512,60;953 064,40;1 026 000,80;992 532;491 276,20;888 517;1 278 271,90
        Калужская область;137 439;161 093,90;210 167,30;217 865,20;257 820;252 305,40;267 446,60;250 408,40;321 029,60;360 183,30;362 803,20;409 602,50;394 283,10;375 322,40;326 509,20;344 277,60;394 375,50;172 006,40;243 119,80;272 632,10
        Костромская область;125 579,90;152 516,40;208 659,90;273 042,10;380 006,60;428 093,60;426 194,90;373 161,20;360 585,30;432 265,60;433 196,80;427 789,50;472 626,90;486 696;466 898;501 332,80;524 678,30;345 620,80;471 162,80;668 229,80
        Курская область;197 133,20;120 052,70;112 647,60;135 269,40;164 213,40;231 550;248 471;248 698,90;263 221,50;306 184;290 244,40;301 878,20;313 096,70;315 246,40;306 254,90;291 181,90;306 366,50;126 887,90;105 329,50;244 759,10
        Липецкая область;133 221,90;191 112,80;232 073;264 436,30;295 913,90;297 009,70;287 669,50;255 991,50;250 966,90;255 197,20;254 099,90;274 776,50;258 495,60;235 164,80;232 544,30;200 999;166 966,40;93 823,30;111 173,90;138 892
        Московская область;2 440 676,40;3 261 183;3 404 669,10;4 987 100,30;5 548 172,60;6 789 509,10;5 829 416,40;5 743 727,60;5 919 564;5 711 788,30;5 734 355,80;6 012 605,20;6 362 539,30;6 177 287,50;5 018 889,10;5 140 334,40;5 700 517,50;4 140 755,30;6 425 039;7 523 962,30
        Орловская область;76 967,90;82 841,70;98 027,80;124 032,70;112 058,70;141 680,70;160 085,90;111 717;121 647,20;131 614,60;144 295,60;186 610,50;126 424,70;115 178;116 987,70;118 037,80;125 564,80;55 897,10;109 470,60;122 931,10
        Рязанская область;186 186;224 407,10;275 986,60;311 732,10;267 318,10;367 944,60;368 243,10;321 810,70;327 482,40;401 894,50;380 882,10;374 111,40;424 577,50;410 831,10;348 303,60;363 906,10;363 883,90;274 485,60;409 072,70;514 629,80
