Регион;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;145436441;153192938;177639996;213667755;1406528162;1465871875;1435642914;1486856331;1509234033;1506500695;1496919520;1459939999;1420913009;1427651478;1436560212;1454382429;1228217382;1419023002
Центральный федеральный округ;38657813;36273701;42197026;38769421;385617457;417238463;422713570;449502975;447580698;458795874;436799844;414327108;377669265;379874388;382108074;395060461;338382413;410377585
Белгородская область;946939;1358812;1027283;1029019;15052060;15237722;15215864;15070314;15477974;15614208;15447115;15671424;15268276;14919317;14351589;14765690;13231941;13368026
Брянская область;727184;671328;712643;720365;12396790;12833623;12604946;12623569;12693139;12807773;12297131;11454341;11467031;11475905;11730423;11520316;9162305;10323916
Владимирская область;845019;855286;899237;885820;14709480;15379734;15027786;16051683;14892791;14015449;13798633;13706294;13442055;12845856;12525838;11704148;9703271;11418265
Воронежская область;2589088;1872758;2944842;2480864;3158143;23723854;23684548;32834085;24930574;23561422;24815734;22738534;23059950;23646027;24125462;23964797;20501657;22760567
Ивановская область;268357;342321;404078;471078;9822065;10195643;10470799;11396675;12128341;11625306;11294652;10840379;10067421;10231849;9999587;10098165;8818435;9572949
Калужская область;1281618;1281618;1294791;1319059;1315316;8889034;9084215;9268483;9454415;10067787;9737940;9518153;9622850;9663603;10102136;10002293;8335213;9643951
Костромская область;521616;622388;663875;650381;7092826;7333439;7227255;7421192;7642465;7778830;7981219;7748406;6473416;6558506;6522001;6458378;5596967;6111074
Курская область;1488415;1489058;1519858;1695851;12502379;11741955;11356706;11519045;11827344;11109654;11030359;12593741;11052979;11922232;10914059;10800076;7968929;9482923
Липецкая область;1751302;1789733;1870068;1614050;12566199;11449205;11175633;11043966;11163209;10803547;10655693;10676923;10282806;10156415;10234741;10283647;8616556;9458120
Московская область;7217896;5716557;8201444;5472161;63945381;63056912;64598533;71320215;70651074;70688139;69327318;66576586;61724286;62643204;63992701;69510668;62618628;69277913
Орловская область;417003;401389;495484;477467;7248775;7382986;7186279;7152196;7324488;7068386;7194025;7147734;6897250;6938025;7037860;6799341;5267298;5818137
Рязанская область;1004;1032;949;1032;11573838;11690942;11803478;11379504;11186451;10879280;10945193;11076096;10938423;10812247;10994491;11146434;9083279;9565099
Смоленская область;1026004;1123413;1381281;1043545;9479951;9262314;9213823;9219094;9286903;9100239;9019576;8715604;8806444;9420979;9003977;8942628;7217592;7482636
Тамбовская область;688265;738769;756482;781384;9732907;9695557;9805005;9696766;9963067;10417536;10481510;10424168;10173730;10298562;10459870;10660863;9302869;9981825
Тверская область;700160;685446;825885;875166;10557359;11722536;11973314;12536752;12425378;12043633;11772626;11960779;11657690;11979261;12065502;11492627;9672674;11213773
Тульская область;1390982;1163571;1186989;1197684;16136361;16021484;15438227;15274915;15324241;15457697;15456519;15868783;15926497;15753960;15462129;15601186;13421597;14605302
