Регион;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Российская Федерация;1600660;1575433;1553562;1521656;1398495;1373416;1339492;1347080;1332319;1301924;1266814;1222009;1197247;1182693;1172768;1173568;1188770;1162107
Центральный федеральный округ;434401;428173;422117;409308;376357;366551;354680;356482;350237;340049;326290;306839;299493;292702;290525;301911;311521;291534
Белгородская область;17792;16851;16652;13071;12613;12548;12466;12332;12470;12396;12453;11952;11282;11311;11171;10911;10710;10866
Брянская область;17071;16910;16675;16354;13437;12361;11753;11552;11760;11140;10325;9408;9139;9102;9093;8930;8931;8608
Владимирская область;16598;15487;14475;13624;11541;11229;11134;12009;11998;12058;11923;12017;11670;11499;11391;11260;11332;11553
Воронежская область;25541;25285;24642;24380;21584;21051;21275;21910;21720;21404;21419;19987;19649;19175;19102;18320;18229;17947
Ивановская область;15598;13852;12379;11863;11404;11091;11027;10689;10904;10468;9960;9159;8393;8173;8228;8094;8109;8116
Калужская область;12016;11787;11459;11120;10139;10204;10072;10346;9987;9726;9215;8464;8046;7613;7654;7316;8407;7769
Костромская область;11097;11053;10714;10478;8964;7437;6439;6584;6480;6247;6272;6210;6197;6211;6107;5973;6053;5814
Курская область;13702;13445;13336;11805;11188;10758;10580;10219;10071;9829;9704;9565;9558;9410;9407;9373;9505;9544
Липецкая область;16162;15786;15556;15233;13693;12185;11713;10976;10008;9205;9671;9606;9594;9427;9335;9328;9384;9289
Московская область;71231;74980;75758;69860;60768;61762;53425;59292;56858;56356;55555;55370;54898;54000;52405;62848;64773;55979
Орловская область;9963;9776;9816;9602;9077;8146;8018;7962;7883;7770;7551;7272;6992;6790;6713;6470;5652;5597
Рязанская область;15639;14117;14082;14021;12736;12397;11423;11291;11085;10145;9179;8939;8936;8830;8699;8503;8463;8406
Смоленская область;13680;12853;12422;12109;11178;11134;10843;10705;10599;10447;9595;9439;9260;9032;9006;8852;8694;8581
Тамбовская область;14693;13934;13641;12331;11067;11014;10930;10042;9945;9336;8754;8571;8384;7924;7773;7662;7352;7351
Тверская область;18376;17660;17612;17242;14310;14020;14641;14324;14087;13318;12858;12438;12178;11985;11727;11650;11458;11529
Тульская область;22701;22359;20227;19977;18647;17146;16465;14740;13786;13237;13207;13134;12865;12887;12966;12956;12480;12505
Ярославская область;17378;17222;17137;17039;15569;14699;14642;13902;13671;13453;12822;11989;11770;11618;11440;10894;11364;11830
г. Москва;105163;104816;105534;109199;108442;107369;107834;107607;106925;103514;95827;83319;80682;77715;78308;82571;90625;80250
Северо-Западный федеральный округ;150307;148070;145175;142049;131559;130569;127047;128733;129129;127087;121221;118941;116114;115308;114320;113761;112584;112545
Республика Карелия;8625;8170;8150;7688;7183;6926;6814;6465;6841;6367;5510;4904;4737;4649;4598;4601;4773;4596
Республика Коми;11594;11108;11312;11080;10638;10557;10040;9926;9639;9145;8879;8851;8629;8426;8299;8010;7841;7293
Архангельская область;16077;15702;14591;14568;13318;12846;12572;12362;12936;12635;12287;11476;10904;10537;10107;9525;9080;9206
Ненецкий автономный округ;530;530;530;530;515;405;515;515;515;520;520;470;419;407;375;350;329;331
Архангельская область (кроме Ненецкого автономного округа);15547;15172;14061;14038;12803;12441;12057;11847;12421;12115;11767;11006;10485;10130;9732;9175;8751;8875
Вологодская область;14770;14424;14444;14017;13167;11751;10746;10731;10709;10364;9662;10013;9237;8960;9014;8937;8878;8778
Калининградская область;10276;9832;9708;8495;7657;7492;7344;7305;8646;8658;8762;8627;8357;8376;8274;8248;7920;7986
Ленинградская область;15510;14962;14305;14552;12828;12728;12671;12167;12196;12205;11831;11733;11917;11589;12001;11511;11273;11725
Мурманская область;9894;9728;9420;9513;8913;10663;9906;9744;9200;9121;8203;7908;7628;7303;7041;7066;7590;7270
Новгородская область;8414;8535;8301;8264;6508;6324;6241;6196;6173;5669;5083;5112;5077;4962;4937;4879;4817;4697
Псковская область;9435;9600;8853;8658;7283;6937;6944;6895;6545;5945;5862;5524;5460;5258;5327;5895;5855;5464
г.Санкт-Петербург;45712;46009;46091;45214;44064;44345;43769;46942;46244;46978;45142;44793;44168;45248;44722;45089;44557;45530
Южный федеральный  округ ;147443;144950;143545;142111;129029;129119;125657;127962;126207;122699;132755;130859;129878;131327;129947;129267;129604;129780
Республика Адыгея;4905;4900;4885;5076;4709;4283;4223;4006;3861;3347;3279;3391;3381;3401;3421;3206;3146;3163
Республика Калмыкия;3949;3926;3294;3235;2934;2905;2744;2747;2623;2631;2450;2402;2151;2155;2135;2136;2088;2127
Республика Крым;;;;;;;;;;;16328;14805;14526;15109;14580;14810;15803;16103
Краснодарский край;50388;49246;49030;48167;44165;43712;42717;44030;44169;44078;41252;40731;41118;41951;41513;41726;41479;42522
Астраханская область;12511;11747;11634;11422;10185;10438;10283;10816;10445;10038;9797;9572;9400;8984;8984;8646;8649;8179
Волгоградская область;31841;31526;31137;30896;27404;29048;28419;27679;26890;24721;22640;22779;22184;22005;22002;21966;21609;21462
Ростовская область;43849;43605;43565;43315;39632;38733;37271;38684;38219;37884;34197;34473;34537;34113;33761;33281;32725;32665
г.Севастополь;;;;;;;;;;;2812;2706;2581;3609;3551;3496;4105;3559
Северо-Кавказский федеральный округ;65723;64881;73910;73496;71786;72316;73610;73054;74089;73021;71480;70897;70402;70379;71461;70784;76186;70282
Республика Дагестан;18261;18023;18488;18327;18459;18657;19746;20331;20738;20889;20693;20520;20407;21187;21460;20733;21942;20505
Республика Ингушетия;1986;1946;1946;2057;2057;2057;2057;2057;2077;2089;2282;2314;2314;2198;2206;2236;2511;2398
Кабардино-Балкарская Республика;9042;8981;9023;8696;8664;8534;8366;8326;8375;8107;7531;7289;7063;6729;6509;7078;6765;6314
Карачаево-Черкесская Республика;4390;4416;4408;4292;4105;4105;4105;3968;3804;3692;3446;3468;3275;3199;3197;3200;3885;3444
Республика Северная Осетия - Алания;8088;7182;7162;7163;6938;7144;7133;7448;7534;6571;6199;6238;6337;6347;6210;6098;6678;5408
Чеченская Республика;;;8607;8850;9152;9530;10526;9635;10014;9989;8681;8590;8555;8155;8485;8470;9428;9312
Ставропольский край;23956;24333;24276;24111;22411;22289;21677;21289;21547;21684;22648;22478;22451;22564;23394;22969;24977;22901
Приволжский федеральный округ;348554;340169;326050;321900;291260;284219;274463;275779;274108;266016;257327;247210;241464;237758;235333;231114;231299;229147
Республика Башкортостан;42394;39186;38602;38627;36198;36560;35091;34454;34567;33136;32868;32620;32047;31714;31368;31343;31975;31216
Республика Марий Эл;8984;8895;8584;8382;8011;7441;7755;6996;6889;6788;6551;6194;5717;5593;5481;5319;5469;5514
Республика Мордовия;11633;10870;10757;9740;9057;8869;8827;8794;8519;8233;7525;6580;6511;6272;6282;6228;6274;6120
Республика Татарстан;41063;40283;38117;37450;30485;30237;29391;29179;28583;27479;25399;25448;25339;24705;24659;24642;24894;24866
Удмуртская Республика;20315;19345;18979;19691;17919;16883;15505;14857;15120;14999;15157;14084;12778;12285;11756;11178;11454;11581
Чувашская Республика;15022;14348;13849;13152;11522;11513;11182;11052;10892;10946;10574;10355;10301;10175;10107;9899;10323;9756
Пермский край;33439;32237;28470;27806;24922;23684;22978;22839;22832;22739;23690;22740;22173;21682;21298;20448;19176;19283
Кировская область;23933;21312;20926;20531;17612;16161;14872;14034;14444;13423;12435;11686;11352;11198;11175;11065;11066;11124
Нижегородская область;40088;43885;42000;41258;35860;34447;34041;34785;34236;33697;32121;29060;28276;28354;28838;28256;28381;28473
Оренбургская область;27790;26607;24294;23929;21859;21532;20937;20599;20849;18587;17907;17249;16952;16475;15841;15171;15234;14665
Пензенская область;14866;14897;14219;14172;13344;13250;12650;12847;12796;11737;11361;10957;10783;10593;10494;10509;10396;10350
Самарская область;27957;28047;27547;28016;27225;27242;26405;28816;27956;28194;26585;25129;24417;23631;23531;23169;23519;23287
Саратовская область;27904;27335;26999;26181;24552;24127;23011;24716;24757;24367;23768;24451;24547;24864;24602;24212;23242;23139
Ульяновская область;13166;12922;12707;12965;12694;12273;11818;11811;11668;11691;11386;10657;10271;10217;9901;9675;9896;9773
Уральский федеральный округ;137562;133511;131834;129789;120040;115773;113650;114496;112342;109583;104100;101586;99611;97336;96681;96382;99419;101828
Курганская область;11991;11086;10187;10088;8932;8902;8882;8971;8916;8659;8373;8129;7708;7358;7233;7187;7157;7899
Свердловская область;48310;47529;47750;46780;46832;45108;43668;43135;43021;42325;40500;39335;37983;36841;36641;36622;37443;38202
Тюменская область;34433;32656;31793;31699;29775;28679;28424;28365;27974;27914;27382;27448;27259;26965;27033;26945;27308;28577
Ханты-Мансийский автономный округ-Югра;14762;14671;14425;14402;13587;12811;12881;12789;12659;12621;12461;12754;12686;12552;12516;12352;12276;12627
Ямало-Ненецкий автономный округ;6061;6004;5884;5959;5547;5245;5230;5155;5082;4864;4606;4607;4396;4201;4194;4130;4150;4240
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа);13610;11981;11484;11338;10641;10623;10313;10421;10233;10429;10315;10087;10177;10212;10323;10463;10882;11710
Челябинская область;42828;42240;42104;41222;34501;33084;32676;34025;32431;30685;27845;26674;26661;26172;25774;25628;27511;27150
Сибирский федеральный округ;208131;207978;205440;201058;184362;183085;179717;176286;174434;172099;166558;162144;160140;157330;154675;152158;151469;150147
Республика Алтай;2516;2369;2406;2384;2019;1896;1911;1849;1776;1682;1703;1688;1682;1587;1631;1615;1611;1612
Республика Тыва;5468;5177;5149;5152;4680;4481;4433;4410;4225;4230;4120;3993;3806;3657;3671;3521;3526;3738
Республика Хакасия;5958;5788;5525;5448;4661;4853;4824;4548;4495;4383;4203;4015;3871;3855;3774;3736;3984;3772
Алтайский край;29406;29472;29457;29026;28045;27557;27101;26024;25182;24764;24028;23195;22929;22248;21473;21271;20883;20515
